,loc_id,id,iso_2,iso_3,country_en,country_cz,latitude,longitude,T1990,T1995,T2000,T2005,T2010,T2015,T2019,M1990,M1995,M2000,M2005,M2010,M2015,M2019,F1990,F1995,F2000,F2005,F2010,F2015,F2019
55,4,4,AF,AFG,Afghanistan,Afghánistán,33.93911,67.709953,57686.0,71522.0,75917.0,87300.0,102246,489749,149762,32558.0,39105.0,42848.0,49274.0,57709,248212,74974,25128.0,32417.0,33069.0,38026.0,44537,241537,74788
56,4,4,AF,AFG,Afghanistan,Afghánistán,33.93911,67.709953,57686.0,71522.0,75917.0,87300.0,102246,489749,149762,32558.0,39105.0,42848.0,49274.0,57709,248212,74974,25128.0,32417.0,33069.0,38026.0,44537,241537,74788
57,4,4,AF,AFG,Afghanistan,Afghánistán,33.93911,67.709953,57686.0,71522.0,75917.0,87300.0,102246,489749,149762,32558.0,39105.0,42848.0,49274.0,57709,248212,74974,25128.0,32417.0,33069.0,38026.0,44537,241537,74788
58,4,4,AF,AFG,Afghanistan,Afghánistán,33.93911,67.709953,57686.0,71522.0,75917.0,87300.0,102246,489749,149762,32558.0,39105.0,42848.0,49274.0,57709,248212,74974,25128.0,32417.0,33069.0,38026.0,44537,241537,74788
59,4,4,AF,AFG,Afghanistan,Afghánistán,33.93911,67.709953,57686.0,71522.0,75917.0,87300.0,102246,489749,149762,32558.0,39105.0,42848.0,49274.0,57709,248212,74974,25128.0,32417.0,33069.0,38026.0,44537,241537,74788
60,4,4,AF,AFG,Afghanistan,Afghánistán,33.93911,67.709953,57686.0,71522.0,75917.0,87300.0,102246,489749,149762,32558.0,39105.0,42848.0,49274.0,57709,248212,74974,25128.0,32417.0,33069.0,38026.0,44537,241537,74788
61,4,4,AF,AFG,Afghanistan,Afghánistán,33.93911,67.709953,57686.0,71522.0,75917.0,87300.0,102246,489749,149762,32558.0,39105.0,42848.0,49274.0,57709,248212,74974,25128.0,32417.0,33069.0,38026.0,44537,241537,74788
62,4,4,AF,AFG,Afghanistan,Afghánistán,33.93911,67.709953,57686.0,71522.0,75917.0,87300.0,102246,489749,149762,32558.0,39105.0,42848.0,49274.0,57709,248212,74974,25128.0,32417.0,33069.0,38026.0,44537,241537,74788
63,4,4,AF,AFG,Afghanistan,Afghánistán,33.93911,67.709953,57686.0,71522.0,75917.0,87300.0,102246,489749,149762,32558.0,39105.0,42848.0,49274.0,57709,248212,74974,25128.0,32417.0,33069.0,38026.0,44537,241537,74788
64,4,4,AF,AFG,Afghanistan,Afghánistán,33.93911,67.709953,57686.0,71522.0,75917.0,87300.0,102246,489749,149762,32558.0,39105.0,42848.0,49274.0,57709,248212,74974,25128.0,32417.0,33069.0,38026.0,44537,241537,74788
65,4,4,AF,AFG,Afghanistan,Afghánistán,33.93911,67.709953,57686.0,71522.0,75917.0,87300.0,102246,489749,149762,32558.0,39105.0,42848.0,49274.0,57709,248212,74974,25128.0,32417.0,33069.0,38026.0,44537,241537,74788
66,4,4,AF,AFG,Afghanistan,Afghánistán,33.93911,67.709953,57686.0,71522.0,75917.0,87300.0,102246,489749,149762,32558.0,39105.0,42848.0,49274.0,57709,248212,74974,25128.0,32417.0,33069.0,38026.0,44537,241537,74788
67,4,4,AF,AFG,Afghanistan,Afghánistán,33.93911,67.709953,57686.0,71522.0,75917.0,87300.0,102246,489749,149762,32558.0,39105.0,42848.0,49274.0,57709,248212,74974,25128.0,32417.0,33069.0,38026.0,44537,241537,74788
68,4,4,AF,AFG,Afghanistan,Afghánistán,33.93911,67.709953,57686.0,71522.0,75917.0,87300.0,102246,489749,149762,32558.0,39105.0,42848.0,49274.0,57709,248212,74974,25128.0,32417.0,33069.0,38026.0,44537,241537,74788
69,4,4,AF,AFG,Afghanistan,Afghánistán,33.93911,67.709953,57686.0,71522.0,75917.0,87300.0,102246,489749,149762,32558.0,39105.0,42848.0,49274.0,57709,248212,74974,25128.0,32417.0,33069.0,38026.0,44537,241537,74788
70,8,8,AL,ALB,Albania,Albánie,41.153332,20.168331,66013.0,71354.0,76695.0,64739.0,52784,52031,49160,30579.0,33284.0,35990.0,32993.0,26901,26517,25054,35434.0,38070.0,40705.0,31746.0,25883,25514,24106
71,8,8,AL,ALB,Albania,Albánie,41.153332,20.168331,66013.0,71354.0,76695.0,64739.0,52784,52031,49160,30579.0,33284.0,35990.0,32993.0,26901,26517,25054,35434.0,38070.0,40705.0,31746.0,25883,25514,24106
72,8,8,AL,ALB,Albania,Albánie,41.153332,20.168331,66013.0,71354.0,76695.0,64739.0,52784,52031,49160,30579.0,33284.0,35990.0,32993.0,26901,26517,25054,35434.0,38070.0,40705.0,31746.0,25883,25514,24106
73,8,8,AL,ALB,Albania,Albánie,41.153332,20.168331,66013.0,71354.0,76695.0,64739.0,52784,52031,49160,30579.0,33284.0,35990.0,32993.0,26901,26517,25054,35434.0,38070.0,40705.0,31746.0,25883,25514,24106
74,8,8,AL,ALB,Albania,Albánie,41.153332,20.168331,66013.0,71354.0,76695.0,64739.0,52784,52031,49160,30579.0,33284.0,35990.0,32993.0,26901,26517,25054,35434.0,38070.0,40705.0,31746.0,25883,25514,24106
75,8,8,AL,ALB,Albania,Albánie,41.153332,20.168331,66013.0,71354.0,76695.0,64739.0,52784,52031,49160,30579.0,33284.0,35990.0,32993.0,26901,26517,25054,35434.0,38070.0,40705.0,31746.0,25883,25514,24106
76,8,8,AL,ALB,Albania,Albánie,41.153332,20.168331,66013.0,71354.0,76695.0,64739.0,52784,52031,49160,30579.0,33284.0,35990.0,32993.0,26901,26517,25054,35434.0,38070.0,40705.0,31746.0,25883,25514,24106
77,8,8,AL,ALB,Albania,Albánie,41.153332,20.168331,66013.0,71354.0,76695.0,64739.0,52784,52031,49160,30579.0,33284.0,35990.0,32993.0,26901,26517,25054,35434.0,38070.0,40705.0,31746.0,25883,25514,24106
78,8,8,AL,ALB,Albania,Albánie,41.153332,20.168331,66013.0,71354.0,76695.0,64739.0,52784,52031,49160,30579.0,33284.0,35990.0,32993.0,26901,26517,25054,35434.0,38070.0,40705.0,31746.0,25883,25514,24106
79,8,8,AL,ALB,Albania,Albánie,41.153332,20.168331,66013.0,71354.0,76695.0,64739.0,52784,52031,49160,30579.0,33284.0,35990.0,32993.0,26901,26517,25054,35434.0,38070.0,40705.0,31746.0,25883,25514,24106
80,8,8,AL,ALB,Albania,Albánie,41.153332,20.168331,66013.0,71354.0,76695.0,64739.0,52784,52031,49160,30579.0,33284.0,35990.0,32993.0,26901,26517,25054,35434.0,38070.0,40705.0,31746.0,25883,25514,24106
81,8,8,AL,ALB,Albania,Albánie,41.153332,20.168331,66013.0,71354.0,76695.0,64739.0,52784,52031,49160,30579.0,33284.0,35990.0,32993.0,26901,26517,25054,35434.0,38070.0,40705.0,31746.0,25883,25514,24106
82,8,8,AL,ALB,Albania,Albánie,41.153332,20.168331,66013.0,71354.0,76695.0,64739.0,52784,52031,49160,30579.0,33284.0,35990.0,32993.0,26901,26517,25054,35434.0,38070.0,40705.0,31746.0,25883,25514,24106
83,8,8,AL,ALB,Albania,Albánie,41.153332,20.168331,66013.0,71354.0,76695.0,64739.0,52784,52031,49160,30579.0,33284.0,35990.0,32993.0,26901,26517,25054,35434.0,38070.0,40705.0,31746.0,25883,25514,24106
84,8,8,AL,ALB,Albania,Albánie,41.153332,20.168331,66013.0,71354.0,76695.0,64739.0,52784,52031,49160,30579.0,33284.0,35990.0,32993.0,26901,26517,25054,35434.0,38070.0,40705.0,31746.0,25883,25514,24106
85,8,8,AL,ALB,Albania,Albánie,41.153332,20.168331,66013.0,71354.0,76695.0,64739.0,52784,52031,49160,30579.0,33284.0,35990.0,32993.0,26901,26517,25054,35434.0,38070.0,40705.0,31746.0,25883,25514,24106
86,8,8,AL,ALB,Albania,Albánie,41.153332,20.168331,66013.0,71354.0,76695.0,64739.0,52784,52031,49160,30579.0,33284.0,35990.0,32993.0,26901,26517,25054,35434.0,38070.0,40705.0,31746.0,25883,25514,24106
87,8,8,AL,ALB,Albania,Albánie,41.153332,20.168331,66013.0,71354.0,76695.0,64739.0,52784,52031,49160,30579.0,33284.0,35990.0,32993.0,26901,26517,25054,35434.0,38070.0,40705.0,31746.0,25883,25514,24106
88,8,8,AL,ALB,Albania,Albánie,41.153332,20.168331,66013.0,71354.0,76695.0,64739.0,52784,52031,49160,30579.0,33284.0,35990.0,32993.0,26901,26517,25054,35434.0,38070.0,40705.0,31746.0,25883,25514,24106
89,8,8,AL,ALB,Albania,Albánie,41.153332,20.168331,66013.0,71354.0,76695.0,64739.0,52784,52031,49160,30579.0,33284.0,35990.0,32993.0,26901,26517,25054,35434.0,38070.0,40705.0,31746.0,25883,25514,24106
90,8,8,AL,ALB,Albania,Albánie,41.153332,20.168331,66013.0,71354.0,76695.0,64739.0,52784,52031,49160,30579.0,33284.0,35990.0,32993.0,26901,26517,25054,35434.0,38070.0,40705.0,31746.0,25883,25514,24106
91,8,8,AL,ALB,Albania,Albánie,41.153332,20.168331,66013.0,71354.0,76695.0,64739.0,52784,52031,49160,30579.0,33284.0,35990.0,32993.0,26901,26517,25054,35434.0,38070.0,40705.0,31746.0,25883,25514,24106
92,8,8,AL,ALB,Albania,Albánie,41.153332,20.168331,66013.0,71354.0,76695.0,64739.0,52784,52031,49160,30579.0,33284.0,35990.0,32993.0,26901,26517,25054,35434.0,38070.0,40705.0,31746.0,25883,25514,24106
93,8,8,AL,ALB,Albania,Albánie,41.153332,20.168331,66013.0,71354.0,76695.0,64739.0,52784,52031,49160,30579.0,33284.0,35990.0,32993.0,26901,26517,25054,35434.0,38070.0,40705.0,31746.0,25883,25514,24106
94,8,8,AL,ALB,Albania,Albánie,41.153332,20.168331,66013.0,71354.0,76695.0,64739.0,52784,52031,49160,30579.0,33284.0,35990.0,32993.0,26901,26517,25054,35434.0,38070.0,40705.0,31746.0,25883,25514,24106
95,8,8,AL,ALB,Albania,Albánie,41.153332,20.168331,66013.0,71354.0,76695.0,64739.0,52784,52031,49160,30579.0,33284.0,35990.0,32993.0,26901,26517,25054,35434.0,38070.0,40705.0,31746.0,25883,25514,24106
96,8,8,AL,ALB,Albania,Albánie,41.153332,20.168331,66013.0,71354.0,76695.0,64739.0,52784,52031,49160,30579.0,33284.0,35990.0,32993.0,26901,26517,25054,35434.0,38070.0,40705.0,31746.0,25883,25514,24106
97,8,8,AL,ALB,Albania,Albánie,41.153332,20.168331,66013.0,71354.0,76695.0,64739.0,52784,52031,49160,30579.0,33284.0,35990.0,32993.0,26901,26517,25054,35434.0,38070.0,40705.0,31746.0,25883,25514,24106
98,8,8,AL,ALB,Albania,Albánie,41.153332,20.168331,66013.0,71354.0,76695.0,64739.0,52784,52031,49160,30579.0,33284.0,35990.0,32993.0,26901,26517,25054,35434.0,38070.0,40705.0,31746.0,25883,25514,24106
99,8,8,AL,ALB,Albania,Albánie,41.153332,20.168331,66013.0,71354.0,76695.0,64739.0,52784,52031,49160,30579.0,33284.0,35990.0,32993.0,26901,26517,25054,35434.0,38070.0,40705.0,31746.0,25883,25514,24106
100,8,8,AL,ALB,Albania,Albánie,41.153332,20.168331,66013.0,71354.0,76695.0,64739.0,52784,52031,49160,30579.0,33284.0,35990.0,32993.0,26901,26517,25054,35434.0,38070.0,40705.0,31746.0,25883,25514,24106
101,8,8,AL,ALB,Albania,Albánie,41.153332,20.168331,66013.0,71354.0,76695.0,64739.0,52784,52031,49160,30579.0,33284.0,35990.0,32993.0,26901,26517,25054,35434.0,38070.0,40705.0,31746.0,25883,25514,24106
102,8,8,AL,ALB,Albania,Albánie,41.153332,20.168331,66013.0,71354.0,76695.0,64739.0,52784,52031,49160,30579.0,33284.0,35990.0,32993.0,26901,26517,25054,35434.0,38070.0,40705.0,31746.0,25883,25514,24106
103,8,8,AL,ALB,Albania,Albánie,41.153332,20.168331,66013.0,71354.0,76695.0,64739.0,52784,52031,49160,30579.0,33284.0,35990.0,32993.0,26901,26517,25054,35434.0,38070.0,40705.0,31746.0,25883,25514,24106
104,8,8,AL,ALB,Albania,Albánie,41.153332,20.168331,66013.0,71354.0,76695.0,64739.0,52784,52031,49160,30579.0,33284.0,35990.0,32993.0,26901,26517,25054,35434.0,38070.0,40705.0,31746.0,25883,25514,24106
105,8,8,AL,ALB,Albania,Albánie,41.153332,20.168331,66013.0,71354.0,76695.0,64739.0,52784,52031,49160,30579.0,33284.0,35990.0,32993.0,26901,26517,25054,35434.0,38070.0,40705.0,31746.0,25883,25514,24106
106,8,8,AL,ALB,Albania,Albánie,41.153332,20.168331,66013.0,71354.0,76695.0,64739.0,52784,52031,49160,30579.0,33284.0,35990.0,32993.0,26901,26517,25054,35434.0,38070.0,40705.0,31746.0,25883,25514,24106
