latitude;longitude;id;iso_3
36.137741;-5.345374;292;GIB
71.706936;-42.604303;304;GRL
13.443182;-15.310139;270;GMB
9.945587;-9.696645;324;GIN
16.995971;-62.067641;312;GLP
1.650801;10.267895;226;GNQ
39.074208;21.824312;300;GRC
-54.429579;-36.587909;239;SGS
15.783471;-90.230759;320;GTM
13.444304;144.793731;316;GUM
11.803749;-15.180413;624;GNB
4.860416;-58.93018;328;GUY
22.396428;114.109497;344;HKG
-53.08181;73.504158;334;HMD
15.199999;-86.241905;340;HND
45.10;15.20;191;HRV
18.971187;-72.285215;332;HTI
47.162494;19.503304;348;HUN
46.818188;8.227512;756;CHE
-0.789275;113.921327;360;IDN
53.41291;-8.24389;372;IRL
31.046051;34.851612;376;ISR
54.236107;-4.548056;833;IMN
20.593684;78.96288;356;IND
-6.343194;71.876519;86;IOT
33.223191;43.679291;368;IRQ
32.427908;53.688046;364;IRN
64.963051;-19.020835;352;ISL
41.87194;12.56738;380;ITA
49.214439;-2.13125;832;JEY
18.109581;-77.297508;388;JAM
30.585164;36.238414;400;JOR
36.204824;138.252924;392;JPN
-0.023559;37.906193;404;KEN
41.20438;74.766098;417;KGZ
12.565679;104.990963;116;KHM
-3.370417;-168.734039;296;KIR
-11.875001;43.872219;174;COM
17.357822;-62.782998;659;KNA
40.339852;127.510093;408;PRK
35.907757;127.766922;410;KOR
29.31166;47.481766;414;KWT
19.513469;-80.566956;136;CYM
48.019573;66.923684;398;KAZ
19.85627;102.495496;418;LAO
33.854721;35.862285;422;LBN
13.909444;-60.978893;662;LCA
47.166;9.555373;438;LIE
7.873054;80.771797;144;LKA
6.428055;-9.429499;430;LBR
-29.609988;28.233608;426;LSO
55.169438;23.881275;440;LTU
49.815273;6.129583;442;LUX
56.879635;24.603189;428;LVA
26.3351;17.228331;434;LBY
31.791702;-7.09262;504;MAR
43.750298;7.412841;492;MCO
47.411631;28.369885;498;MDA
42.708678;19.37439;499;MNE
-18.766947;46.869107;450;MDG
7.131474;171.184478;584;MHL
41.608635;21.745275;807;MKD
17.570692;-3.996166;466;MLI
21.913965;95.956223;104;MMR
46.862496;103.846656;496;MNG
22.198745;113.543873;446;MAC
17.33083;145.38469;580;MNP
14.641528;-61.024174;474;MTQ
21.00789;-10.940835;478;MRT
16.742498;-62.187366;500;MSR
35.937496;14.375416;470;MLT
-20.348404;57.552152;480;MUS
3.202778;73.22068;462;MDV
-13.254308;34.301525;454;MWI
23.634501;-102.552784;484;MEX
4.210484;101.975766;458;MYS
-18.665695;35.529562;508;MOZ
-22.95764;18.49041;516;NAM
-20.904305;165.618042;540;NCL
17.607789;8.081666;562;NER
-29.040835;167.954712;574;NFK
9.081999;8.675277;566;NGA
12.865416;-85.207229;558;NIC
52.132633;5.291266;528;NLD
60.472024;8.468946;578;NOR
28.394857;84.124008;524;NPL
-0.522778;166.931503;520;NRU
-19.054445;-169.867233;570;NIU
-40.900557;174.885971;554;NZL
21.512583;55.923255;512;OMN
8.537981;-80.782127;591;PAN
-9.189967;-75.015152;604;PER
-17.679742;-149.406843;258;PYF
-6.314993;143.95555;598;PNG
12.879721;121.774017;608;PHL
30.375321;69.345116;586;PAK
51.919438;19.145136;616;POL
46.941936;-56.27111;666;SPM
-24.703615;-127.439308;612;PCN
18.220833;-66.590149;630;PRI
31.952162;35.233154;275;PSE
39.399872;-8.224454;620;PRT
7.51498;134.58252;585;PLW
-23.442503;-58.443832;600;PRY
25.354826;51.183884;634;QAT
-21.115141;55.536384;638;REU
45.943161;24.96676;642;ROU
44.016521;21.005859;688;SRB
61.52401;105.318756;643;RUS
-1.940278;29.873888;646;RWA
23.885942;45.079162;682;SAU
-9.64571;160.156194;90;SLB
-4.679574;55.491977;690;SYC
12.862807;30.217636;729;SDN
60.128161;18.643501;752;SWE
